English,Russian
It was warm.,Было тепло.
It'd be bad.,Это было бы плохо.
It'll break.,Он сломается.
It'll break.,Она сломается.
It'll break.,Оно сломается.
It'll break.,Он разобьётся.
It'll break.,Она разобьётся.
It'll break.,Оно разобьётся.
It's 50 yen.,50 иен.
It's 50 yen.,Пятьдесят иен.
It's French.,Это французский.
It's Monday.,Сегодня понедельник.
It's a date.,Это свидание.
It's a doll.,Это кукла.
It's a fact.,Это факт.
It's a fake.,Это подделка.
It's a fish.,Это рыба.
It's a fish.,Это рыбка.
It's a gift.,Это подарок.
It's a harp.,Это арфа.
It's a joke.,Это шутка.
It's a myth.,Это миф.
It's a myth.,Это миф!
It's a myth.,Это вымысел.
It's a pity.,Какая жалость.
It's a rule.,Это правило.
It's a sign.,Это знак.
It's a song.,Это песня.
It's a trap.,Это ловушка!
It's a trap.,Это ловушка.
It's a vice.,Это порок.
It's a vice.,Это недостаток.
It's absurd.,Это абсурд.
It's boring.,Это скучно.
It's broken.,Сломано.
It's broken.,Оно сломано.
It's broken.,Он сломан.
It's broken.,Она сломана.
It's chilly.,Прохладно.
It's cloudy.,Облачно.
It's for me.,Это для меня.
It's for me.,Это мне.
It's for us.,Это для нас.
It's for us.,Это нам.
It's locked.,Заперто.
It's locked.,Он заперт.
It's locked.,Она заперта.
It's locked.,Оно заперто.
It's my bus.,Мой автобус.
It's my job.,Это моя работа.
It's not us.,Это не мы.
It's payday.,Сегодня зарплата.
It's poison.,Это яд.
It's secret.,Это секрет.
It's silent.,Тихо.
It's so sad.,Это так грустно.
It's so sad.,Так грустно.
It's spring.,Наступила весна.
It's spring.,Весна.
It's spring.,Пришла весна.
It's spring.,Сейчас весна.
It's stormy.,Ненастно.
It's stupid.,Это глупо.
It's urgent.,Это срочно.
It's warmer.,Теплее.
Jump across.,Перепрыгни.
Just ask me.,Просто спроси меня.
Just ask me.,Просто спросите меня.
Just get up.,Просто вставай.
Just say no.,"Просто скажи ""нет""."
Just say no.,Просто скажи нет.
Just say no.,Просто скажите нет.
Just say no.,Просто откажись.
Just say no.,Просто откажитесь.
Just try it.,Ты только попробуй!
Keep trying.,Продолжай попытки.
Let Tom out.,Выпусти Тома.
Let Tom out.,Выпустите Тома.
Let Tom out.,Дай Тому выйти.
Let Tom out.,Дайте Тому выйти.
Let Tom try.,Пусть Том попробует.
Let me help.,Позволь помочь.
Let me help.,Давай я помогу.
Let me help.,Давайте я помогу.
Let me help.,Давай помогу.
Let me help.,Давайте помогу.
Let me know.,Дайте мне знать.
Let me know.,Сообщите мне.
Let me know.,Уведомите меня.
Let me know.,Дай мне знать.
Let me look.,Дай посмотреть.
Let me look.,Дай мне посмотреть.
Let me look.,Дайте мне посмотреть.
Let me look.,Позволь мне взглянуть.
Let me look.,Дайте посмотреть.
Let me look.,Дай я гляну.
Let me pass.,Уступите дорогу.
Let me play.,Дай мне поиграть.
Let me play.,Дайте мне поиграть.
Let me play.,Дай мне сыграть.
Let me play.,Дайте мне сыграть.
Let me rest.,Дай мне отдохнуть.
Let me rest.,Дайте мне отдохнуть.
Let me swim.,Дай мне поплавать.
Let me swim.,Дайте мне поплавать.
Let me talk.,Дайте сказать.
Let's begin.,Давай начнём.
Let's begin.,Начнём.
Let's begin.,Давайте начнём.
Let's check.,Давайте проверим.
Let's check.,Давай проверим.
Let's dance.,Давай танцевать.
Let's dance.,Давайте танцевать.
Let's do it.,Давай сделаем это.
Let's do it.,"Эх, ухнем!"
Let's drink.,Давайте выпьем.
Let's drink.,Давай выпьем.
Let's go in.,Давай зайдём внутрь.
Let's go in.,Давай зайдём.
Let's hurry.,Давай поторопимся.
Let's hurry.,Давайте поторопимся.
Let's hurry.,Давайте поспешим.
Let's hurry.,Давай поспешим.
Let's leave.,Давай уйдём.
Let's leave.,Давайте уйдём.
Let's party.,Давайте устроим сабантуй.
Let's party.,Давайте устроим праздник.
Let's relax.,Давай отдохнем.
Let's start!,Начнём!
Let's start.,Начнём.
Let's study.,Давайте учиться.
Let's study.,Давайте заниматься.
Life is fun.,Жизнь забавна.
Look around.,Смотри по сторонам.
Look around.,Оглядись.
Look around.,Оглядитесь.
Look at Tom.,Посмотри на Тома.
Look at Tom.,Посмотрите на Тома.
Look at him.,Посмотри на него.
Look at him.,Посмотрите на него.
Look at him.,Взгляни на него.
Look at him.,Взгляните на него.
Look closer.,Присмотрись.
Make a list.,Составьте список.
Make a list.,Составь список.
Make a list.,Напиши список.
Make a wish.,Загадай желание.
Make a wish.,Загадайте желание.
Many thanks.,Премного благодарен.
Many thanks.,Большое спасибо.
May I begin?,Можно мне начать?
May I leave?,Можно мне уйти?
May I smoke?,Я могу закурить?
May I smoke?,Можно закурить?
May I smoke?,Можно мне закурить?
Memorize it.,Запомни это.
Memorize it.,Запомните это.
Memorize it.,Выучи это.
Memorize it.,Выучите это.
Memorize it.,Запомните её.
Memorize it.,Запомните его.
Memorize it.,Запомни её.
Memorize it.,Запомни его.
Money talks.,Деньги решают всё.
Money talks.,"Деньги есть — Иван Петрович, денег нет — паршивый сволочь."
My dog died.,Моя собака умерла.
Need a lift?,Тебя подбросить?
Need a lift?,Вас подбросить?
Nice timing.,Вовремя.
No means no.,Нет - значит нет.
No one came.,Никто не пришёл.
No one died.,Никто не умер.
No one knew.,Никто не знал.
No one left.,Никто не ушёл.
No one left.,Никто не уехал.
Nobody came.,Никто не пришёл.
Nobody died.,Никто не умер.
Nobody knew.,Никто не знал.
Nobody lied.,Никто не солгал.
Nobody move!,Никому не двигаться.
Now I'm mad.,Сейчас я в бешенстве.
Now I'm sad.,Теперь мне грустно.
Now beat it.,А теперь проваливай.
Now get out.,Теперь уходи.
Now get out.,Теперь уходите.
Now get out.,Теперь убирайся.
Now get out.,Теперь убирайтесь.
Now get out.,Теперь проваливай.
Now get out.,Теперь проваливайте.
Now get out.,А теперь убирайся.
Now go away.,Теперь уходи.
Now go away.,Теперь уходите.
Now go home.,Теперь иди домой.
Now go home.,Теперь идите домой.
Now help me.,Теперь помоги мне.
Now shut up.,А теперь заткнись.
Now you try.,Теперь ты попробуй.
Now you try.,Теперь вы попробуйте.
"OK, you win.","Ладно, ты выиграл."
"OK, you win.","Ладно, ты победил."
OK. I agree.,Хорошо. Я согласен.
OK. I agree.,Хорошо. Я согласна.
OK. I agree.,"Ладно, согласен."
OK. I agree.,"Ладно, согласна."
"Oh, come on.",Да ладно тебе.
"Oh, come on.",Да ладно вам.
One is blue.,Один синий.
One is blue.,Одна синяя.
One is blue.,Одно синее.
Pick a card.,Возьмите карту.
Pick a card.,Возьми карту.
Pick a date.,Выбери дату.
Pick a date.,Выберите дату.
Pick him up.,Подними его.
Pick him up.,Поднимите его.
Pick him up.,Подыми его.
Pick him up.,Подымите его.
Pick him up.,Захвати его.
Pick him up.,Захватите его.
Pick him up.,Поднимай его.
Pick him up.,Поднимайте его.
Pick him up.,Подхвати его.
Pick him up.,Подхватите его.
Pick him up.,Подвези его.
Pick him up.,Подвезите его.
Pick him up.,Подбери его.
Pick him up.,Подберите его.
Pick him up.,Возьми его.
Pick him up.,Возьмите его.
Pick him up.,Заберите его.
Pick him up.,Забери его.
Pick him up.,Заедь за ним.
Pick him up.,Заедьте за ним.
Pick him up.,Зайди за ним.
Pick him up.,Зайдите за ним.
Plants grow.,Растения растут.
Please come.,"Приходи, пожалуйста."
Please come.,"Приходите, пожалуйста."
Please move.,"Подвиньтесь, пожалуйста."
Please move.,"Подвинься, пожалуйста."
Please sing.,"Спой, пожалуйста."
Please sing.,"Спойте, пожалуйста!"
Please sing.,"Спойте, пожалуйста."
Please stay.,"Пожалуйста, останься."
Please stay.,"Останься, пожалуйста."
Please stay.,"Останьтесь, пожалуйста."
Please stop!,"Прекрати, пожалуйста!"
Please stop!,"Прекратите, пожалуйста!"
Please stop.,"Прекрати, пожалуйста."
Please stop.,"Пожалуйста, прекрати."
Please stop.,"Перестаньте, пожалуйста."
Please stop.,"Прекратите, пожалуйста."
Please stop.,"Перестань, пожалуйста."
Please stop.,"Остановите, пожалуйста."
Please stop.,"Останови, пожалуйста."
Please wait.,"Подождите, пожалуйста."
Please wait.,"Подожди, пожалуйста."
Pray for me.,Помолись за меня.
Pray for me.,Помолитесь за меня.
Pull harder.,Тяни сильнее.
Pull harder.,Тяните сильнее.
Push harder.,Толкай сильнее.
Push harder.,Толкайте сильнее.
Push harder.,Жми сильнее.
Push harder.,Жмите сильнее.
Push harder.,Нажимай сильнее.
Push harder.,Нажимайте сильнее.
Put it back.,Положи назад.
Put it back.,Положи обратно.
Put it back.,Положи это обратно.
Put it back.,Положи это назад.
Put it back.,Положите обратно.
Put it down.,Положи его.
Put it down.,Поставь его.
Put it down.,Поставьте его.
Put it down.,Поставь её.
Put it down.,Поставьте её.
Put it down.,Положите его.
Put it down.,Положи её.
Put it down.,Положите её.
Put this on.,Надень это.
Put this on.,Наденьте это.
Release Tom.,Освободите Тома.
Release Tom.,Освободи Тома.
Release him.,Освободите его.
Remember it.,Запомни это.
Return fire.,Откройте ответный огонь.
Say goodbye.,Попрощайся.
Say goodbye.,Попрощайтесь.
Say goodbye.,"Скажи ""до свидания""."
Say goodbye.,"Скажите ""до свидания""."
Say nothing.,Ничего не говори.
Say nothing.,Ничего не говорите.
Say nothing.,Не говори ничего.
Send Tom in.,Пошлите Тома сюда.
Settle down!,Успокойся!
Settle down!,Успокойтесь!
Settle down.,Угомонись.
Shall we go?,Пойдём?
She bit him.,Она его укусила.
She blushed.,Она покраснела.
She fainted.,Она упала в обморок.
She hit him.,Она его ударила.
She is dead.,Она умерла.
She is dead.,Она мертва.
She is kind.,Она добрая.
She is late.,Она опаздывает.
She is lazy.,Она ленивая.
She is nice.,Она хорошая.
She is nice.,Она славная.
She slipped.,Она поскользнулась.
She woke up.,Она проснулась.
She's a dog.,Это сука.
She's a dog.,Она карга.
She's a dog.,Она уродина.
She's a dog.,Она собака.
She's crazy.,Она сумасшедшая.
She's timid.,Она застенчивая.
Should I go?,Мне уйти?
Should I go?,Мне пойти?
Show me how.,Покажи мне как.
Show me how.,Покажите мне как.
Shut it off.,Выключи его.
Sit with me.,Посиди со мной.
Sit with me.,Посидите со мной.
Sleep tight.,Сладких снов.
Speak to me.,Поговори со мной.
Speak to me.,Поговорите со мной.
Stand aside.,Держись в стороне.
Stand still!,Стой спокойно!
Stand still!,Стойте спокойно!
Stand still.,Стой спокойно.
Stand still.,Стойте спокойно.
Start again.,Начни сначала.
Start again.,Начните сначала.
Start again.,Начни заново.
Start again.,Начните заново.
Start again.,Начни наново.
Start again.,Начните наново.
Stay inside.,Оставайся внутри.
Stay inside.,Оставайтесь внутри.
Stay inside.,Побудь внутри.
Stay inside.,Побудьте внутри.
Step inside.,Заходи.
Stop crying.,Хватит плакать!
Stop crying.,Хватит кричать!
Stop crying.,Хватит лить слёзы!
Stop crying.,Перестань плакать!
Stop crying.,Перестаньте плакать!
Stop crying.,Прекрати кричать!
Stop crying.,Прекратите кричать!
Stop crying.,Перестань лить слёзы!
Stop crying.,Перестаньте лить слёзы!
Stop eating.,Перестань есть.
Stop eating.,Перестаньте есть.
Stop eating.,Хватит есть.
Stop moving!,Не двигайся!
Stop trying.,Перестань пытаться.
Stop! Thief!,Держи вора!
Surprise me.,Удиви меня.
Take a bath.,Прими ванну.
Take a bite.,Откуси.
Take a bite.,Откусите.
Take a card.,Возьмите карту.
Take a card.,Возьми карту.
Take a card.,Бери карту.
Take a card.,Берите карту.
Take a look.,Взгляни.
Take a look.,Посмотри-ка.
Take a look.,Взгляните.
Take a seat.,Садись.
Take a seat.,Присаживайся.
Take a seat.,Присаживайтесь.
Take a walk.,Прогуляйся.
Take action.,Прими меры.
Take action.,Примите меры.
Take it all.,Возьми всё.
Take it all.,Возьмите всё.
Take my car.,Возьми мою машину.
Take my car.,Возьмите мою машину.
Take my car.,Возьми мой автомобиль.
Take my car.,Возьмите мой автомобиль.
Talk slower.,Говори медленнее.
Talk slower.,Говорите медленнее.
Talk to Tom.,Поговори с Томом.
Talk to Tom.,Поговорите с Томом.
"Tea, please.","Чаю, пожалуйста."
"Tea, please.","Чай, пожалуйста."
Tell Tom no.,"Скажи Тому ""нет""."
Tell me why.,Скажи мне почему.
Tell me why.,Скажите мне почему.
That helped.,Это помогло.
That is all.,Это всё.
That is all.,Всё.
That is all.,И на этом всё.
That was me.,Это был я.
That worked.,Это сработало.
That worked.,Это работало.
That worked.,Сработало.
That's cool.,Это круто.
That's cool.,Это здорово.
That's cool.,Это отлично.
That's done.,Сделано.
That's done.,Готово.
That's dumb.,Это глупо.
That's easy.,Легко.
That's easy.,Это просто.
That's fair.,Это справедливо.
That's free.,Это бесплатно.
That's free.,Это даром.
That's hers.,Это её.
That's lame.,Неубедительно.
That's life.,Такова жизнь.
That's life.,Это жизнь.
That's milk.,Это молоко.
That's mine.,Это принадлежит мне.
That's mine.,Это моё.
That's okay.,Подойдёт.
That's over.,С этим покончено.
That's them.,Это они.
That's true.,Так оно и есть.
That's true.,Это правда.
That's true.,Так и есть.
That's true.,Это точно.
That's ugly.,Уродство.
That's wise.,Это мудро.
That's wise.,Мудро.
That's wise.,Это разумно.
The TV's on.,Телевизор включён.
There it is.,"Вот, пожалуйста."
They burned.,Они сгорели.
They burned.,Они обожглись.
They called.,Они позвонили.
They called.,Они звонили.
They danced.,Они танцевали.
They did it.,Они это сделали.
They got up.,Они встали.
They hugged.,Они обнялись.
They kissed.,Они поцеловались.
They kissed.,Они поцеловали.
They may go.,Они могут идти.
They obeyed.,Они послушались.
They obeyed.,Они подчинились.
They obeyed.,Они слушались.
They saw me.,Они меня видели.
They saw me.,Они увидели меня.
They smiled.,Они улыбнулись.
They waited.,Они ждали.
They walked.,Они шли пешком.
They walked.,Они пошли пешком.
They yelled.,Они закричали.
They're bad.,Они плохие.
They're fat.,Они толстые.
They're new.,Они новые.
They're old.,Они старые.
They're red.,Они красные.
They're red.,Они рыжие.
Think again.,Подумай ещё.
Think again.,Подумайте ещё.
This is Tom.,Это Том.
This is Tom.,Том слушает.
This is Tom.,Вот Том.
This is art.,Это искусство.
This is bad.,Это плохо.
This is fun.,Это забавно.
This is his.,Это его.
This is ice.,Это лёд.
This is new.,Это новое.
This is odd.,Это странно.
Time passed.,Прошло время.
Tom arrived.,Том прибыл.
Tom arrived.,Том приехал.
Tom blinked.,Том моргнул.
Tom blushed.,Том покраснел.
Tom came in.,Вошёл Том.
Tom can win.,Том может победить.
Tom can win.,Том может выиграть.
Tom changed.,Том изменился.
Tom cheated.,Том обманул.
Tom cheated.,Том списывал.
Tom cheated.,Том жульничал.
Tom cheated.,Том списал.
Tom cheated.,Том мухлевал.
Tom clapped.,Том хлопал в ладоши.
Tom clapped.,Том хлопнул в ладоши.
Tom coughed.,Том откашлялся.
Tom coughed.,Том кашлял.
Tom coughed.,Том кашлянул.
Tom decided.,Том решил.
Tom did lie.,Всё-таки Том солгал.
Tom did lie.,Том действительно солгал.
Tom drowned.,Том утонул.
Tom escaped.,Том сбежал.
Tom exhaled.,Том выдохнул.
Tom fainted.,Том упал в обморок.
Tom frowned.,Том нахмурился.
Tom gave up.,Том сдался.
Tom giggled.,Том хихикнул.
Tom gloated.,Том тайком торжествовал.
Tom gloated.,Том злорадствовал.
Tom gloated.,Том позлорадствовал.
Tom got fat.,Том растолстел.
Tom got mad.,Том разозлился.
Tom got mad.,Том рассердился.
Tom grinned.,Том ухмыльнулся.
Tom groaned.,Том простонал.
Tom groaned.,Том застонал.
Tom guessed.,Том догадался.
Tom guessed.,Том угадал.
Tom had fun.,Тому было весело.
Tom has one.,У Тома такой есть.
Tom has one.,У Тома такая есть.
Tom has one.,У Тома такое есть.
Tom has won.,Том выиграл.
Tom has won.,Том победил.
Tom hung up.,Том повесил трубку.
Tom hurt me.,Том меня обидел.
Tom inhaled.,Том вдохнул.
Tom is a DJ.,Том — диджей.
Tom is back.,Том вернулся.
Tom is bald.,Том лысый.
Tom is busy.,Том занят.
Tom is calm.,Том спокоен.
Tom is calm.,Том спокойный.
Tom is cold.,Тому холодно.
Tom is cool.,Том клёвый.
Tom is dead.,Том умер.
Tom is dead.,Том мёртв.
Tom is deaf.,Том глухой.
Tom is done.,Том готов.
Tom is done.,Том закончил.
Tom is done.,Том уже всё.
Tom is evil.,Том злой.
Tom is fair.,Том справедливый.
Tom is fine.,Том в порядке.
Tom is free.,Том свободен.
Tom is full.,Том наелся.
Tom is glad.,Том рад.
Tom is gone.,Том ушёл.
Tom is gone.,Тома нет.
Tom is good.,Том хороший.
Tom is grim.,Том мрачный.
Tom is here.,Том здесь.
Tom is home.,Том дома.
Tom is hurt.,Том ранен.
Tom is kind.,Том добр.
Tom is kind.,Том добрый.
Tom is last.,Том последний.
Tom is late.,Том опаздывает.
Tom is late.,Том опоздал.
Tom is lazy.,Том ленивый.
Tom is lost.,Том потерялся.
Tom is lost.,Том заблудился.
Tom is mean.,Том злой.
Tom is meek.,Том кроткий.
Tom is mute.,Том немой.
Tom is neat.,Том опрятный.
Tom is next.,Том следующий.
Tom is nuts.,Том - псих.
Tom is nuts.,Том не дружит с головой.
Tom is pale.,Том бледный.
Tom is poor.,Том беден.
Tom is rich.,Том богат.
Tom is rich.,Том богатый.
Tom is rude.,Том груб.
Tom is safe.,Том в безопасности.
Tom is sick.,Том болен.
Tom is sick.,Том болеет.
Tom is sure.,Том уверен.
Tom is tall.,Том высокий.
Tom is thin.,Том худой.
Tom is tidy.,Том аккуратный.
Tom is ugly.,Том некрасив.
Tom is ugly.,Том некрасивый.
Tom is vain.,Том тщеславен.
Tom is weak.,Том слаб.
Tom is weak.,Том слабый.
Tom is wise.,Том мудр.
Tom kneeled.,Том встал на колени.
Tom kneeled.,Том стал на колени.
Tom knew it.,Том знал это.
Tom knew it.,Том её знал.
Tom knew it.,Том его знал.
Tom laughed.,Том смеялся.
Tom laughed.,Том засмеялся.
Tom left me.,Том меня бросил.
Tom left me.,Том от меня ушёл.
Tom left me.,Том оставил меня.
Tom listens.,Том слушает.
Tom lost it.,Том его потерял.
Tom lost it.,Том её потерял.
Tom made it.,Том сделал это.
Tom made it.,У Тома получилось.
Tom made it.,Том это сделал.
Tom may die.,Том может умереть.
Tom may win.,Том может победить.
Tom may win.,Том может выиграть.
Tom noticed.,Том заметил.
Tom paid me.,Том мне заплатил.
Tom paid me.,Том заплатил мне.
Tom pays us.,Том нам платит.
Tom prepaid.,Том внёс предоплату.
Tom ran off.,Том сбежал.
Tom reacted.,Том отреагировал.
Tom refused.,Том отказался.
Tom relaxed.,Том расслабился.
Tom retired.,Том ушел на пенсию.
Tom retired.,Том вышел на пенсию.
Tom said hi.,Том сказал «привет».
Tom said no.,Том сказал нет.
Tom said no.,Том отказался.
Tom said so.,Так Том сказал.
Tom said so.,Том так сказал.
Tom saw her.,Том увидел её.
Tom saw her.,Том её видел.
Tom saw her.,Том с ней виделся.
Tom saw him.,Том его видел.
Tom saw him.,Том увидел его.
Tom saw him.,Том с ним виделся.
Tom saw you.,Том тебя видел.
Tom saw you.,Том Вас видел.
Tom saw you.,Том вас видел.
Tom shot me.,Том в меня стрелял.
Tom shot me.,Том выстрелил в меня.
Tom shouted.,Том кричал.
Tom slipped.,Том поскользнулся.
Tom smirked.,Том ухмыльнулся.
Tom sneered.,Том усмехнулся.
Tom sneezed.,Том чихнул.
Tom stopped.,Том остановился.
Tom sweated.,Том вспотел.
Tom teaches.,Том учит.
Tom teaches.,Том преподаёт.
Tom told me.,Том сказал мне.
Tom told me.,Том рассказал мне.
Tom told me.,Том мне сказал.
Tom told us.,Том нам сказал.
Tom tripped.,Том споткнулся.
Tom uses it.,Том им пользуется.
Tom uses it.,Том ей пользуется.
Tom vomited.,Тома вырвало.
Tom was hot.,Тому было жарко.
Tom was ill.,Том был болен.
Tom was ill.,Том болел.
Tom was old.,Том был старым.
Tom was sad.,Том был грустным.
Tom was shy.,Том был застенчивым.
Tom was shy.,Том был робким.
Tom was wet.,Том был мокрый.
Tom will go.,Том пойдёт.
Tom will go.,Том идёт.
Tom will go.,Том поедет.
Tom woke up.,Том проснулся.
Tom'll call.,Том позвонит.
Tom'll come.,Том придёт.
Tom'll help.,Том поможет.
Tom'll know.,Том узнает.
Tom'll live.,Том будет жить.
Tom'll lose.,Том проиграет.
Tom'll stay.,Том останется.
Tom'll talk.,Том будет говорить.
Tom'll wait.,Том подождёт.
Tom's alive.,Том жив.
Tom's alone.,Том один.
Tom's angry.,Том зол.
Tom's angry.,Том разозлён.
Tom's angry.,Том злится.
Tom's awake.,Том бодрствует.
Tom's bored.,Том скучает.
Tom's bored.,Тому скучно.
Tom's crazy.,Том ненормальный.
Tom's crazy.,Том сумасшедший.
Tom's crazy.,Том псих.
Tom's crazy.,Том шизанутый.
Tom's crazy.,Том — псих.
Tom's cruel.,Том жестокий.
Tom's cruel.,Том жесток.
Tom's drunk.,Том пьян.
Tom's drunk.,Том пьяный.
Tom's dying.,Том умирает.
Tom's early.,Том рано.
Tom's funny.,Том забавный.
Tom's great.,Том крут.
Tom's happy.,Том счастлив.
Tom's lucky.,Тому везёт.
Tom's lucky.,Том везунчик.
Tom's lucky.,Том везучий.
Tom's lying.,Том лжет.
Tom's lying.,Том врёт.
Tom's older.,Том старше.
Tom's pushy.,Том напорист.
Tom's right.,Том прав.
Tom's smart.,Том умный.
Tom's sorry.,Тому жаль.
Tom's tipsy.,Том под мухой.
Tom's tired.,Том устал.
Tom's tough.,Том суров.
Tom's upset.,Том расстроен.
Tom's weird.,Том странный.
Tom's wrong.,Том ошибается.
Tom's wrong.,Том не прав.
Tom's young.,Том молод.
Tom's young.,Том молодой.
"Tom, get up!","Том, вставай!"
Try that on.,Примерь это.
Try that on.,Примерьте это.
Try this on.,Примерь это.
Try to rest.,Попробуй отдохнуть.
Try to rest.,Постарайся отдохнуть.
Try to rest.,Постарайтесь отдохнуть.
Turn around.,Повернись.
Turn around.,Обернись.
Turn it off.,Выключи это.
Turn it off.,Выключи его.
Turn it off.,Выключите это.
Turn it off.,Выключите его.
Turn it off.,Выключи её.
Turn it off.,Выключите её.
Turn on CNN.,Включи CNN.
Vote for me!,Голосуй за меня!
Vote for me!,Голосуйте за меня!
Vote for me!,Проголосуй за меня!
Vote for me!,Проголосуйте за меня!
Wait for us.,Подожди нас.
Wait for us.,Подождите нас.
Wake Tom up.,Разбуди Тома.
Wake Tom up.,Разбудите Тома.
Wake Tom up.,Буди Тома.
Wake Tom up.,Будите Тома.
Wake him up.,Разбуди его.
Wake him up.,Разбудите его.
Wake him up.,Буди его.
Wake him up.,Будите его.
Walk slowly.,Иди медленно.
Walk slowly.,Идите медленно.
Walk slowly.,Иди не спеша.
Walk slowly.,Идите не спеша.
War is evil.,Война — это зло.
War is evil.,Война — зло.
War is hell.,Война - это ад.
Was I wrong?,Я ошибался?
Was I wrong?,Я был не прав?
Was I wrong?,Я была не права?
Was I wrong?,Я ошибалась?
Was it cold?,Холодно было?
Was it good?,Это было хорошо?
Was it good?,Вкусно было?
Wave to Tom.,Помаши Тому.
We all know.,Мы все знаем.
We all sing.,Мы все поём.
We all work.,Мы все работаем.
We are free!,Мы свободны!
We are here.,Мы здесь.
We are sick.,Мы больны.
We ate eggs.,Мы ели яйца.
We both won.,Мы оба выиграли.
We both won.,Мы обе выиграли.
We both won.,Мы оба победили.
We both won.,Мы обе победили.
We broke up.,Мы расхохотались.
We broke up.,Мы расстались.
We can hear.,Нам слышно.
We can help.,Мы можем помочь.
We can meet.,Мы можем встретиться.
We can rest.,Мы можем отдохнуть.
We can swim.,Мы умеем плавать.
We can talk.,Мы можем поговорить.
We can talk.,Мы умеем разговаривать.
We can wait.,Мы можем подождать.
We can't go.,Мы не можем пойти.
We can't go.,Мы не можем поехать.
We can't go.,Мы не сможем пойти.
We can't go.,Мы не сможем поехать.
We did that.,Мы это сделали.
We found it.,Мы его нашли.
We found it.,Мы её нашли.
We got lost.,Мы потерялись.
We got lost.,Мы заблудились.
We hate Tom.,Мы ненавидим Тома.
We help Tom.,Мы помогаем Тому.
We know Tom.,Мы знаем Тома.
We know him.,Мы его знаем.
We know why.,Мы знаем почему.
We know you.,Мы знаем тебя.
We know you.,Мы знаем вас.
We know you.,Мы вас знаем.
We know you.,Мы тебя знаем.
We like Tom.,Нам нравится Том.
We like Tom.,Том нам нравится.
We like him.,Он нам нравится.
We like you.,Ты нам нравишься.
We like you.,Вы нам нравитесь.
We love Tom.,Мы любим Тома.
We love you.,Мы вас любим.
We love you.,Мы тебя любим.
We miss Tom.,Мы скучаем по Тому.
We miss Tom.,Нам не хватает Тома.
We miss you.,Мы по тебе скучаем.
We miss you.,Мы по вам скучаем.
We miss you.,Нам тебя не хватает.
We miss you.,Нам вас не хватает.
We must act.,Мы должны действовать.
We must run.,Мы должны бежать.
We must try.,Мы должны попробовать.
We need Tom.,Нам нужен Том.
We need Tom.,Том нам нужен.
We need you.,Ты нам нужен.
We need you.,Ты нам нужна.
We need you.,Вы нам нужны.
We promised.,Мы обещали.
We promised.,Мы пообещали.
We remember.,Мы помним.
We sat down.,Мы сели.
We stole it.,Мы это украли.
We stole it.,Мы его украли.
We stole it.,Мы её украли.
We survived!,Мы выжили!
We survived.,Мы выжили.
We think so.,Мы так думаем.
We want Tom.,Нам нужен Том.
We went out.,Мы вышли.
We'll be OK.,У нас всё будет хорошо.
We'll be OK.,У нас всё будет в порядке.
We'll be OK.,С нами всё будет хорошо.
We'll be OK.,С нами всё будет в порядке.
We'll be OK.,С нами всё будет нормально.
We'll be OK.,У нас всё будет нормально.
We'll check.,Мы проверим.
We'll dance.,Мы будем танцевать.
We'll do it.,Мы это сделаем.
We'll hurry.,Мы будем торопиться.
We'll hurry.,Мы будем спешить.
We'll leave.,Мы уйдём.
We'll leave.,Мы уедем.
We'll share.,Мы поделимся.
We'll shoot.,Мы будем стрелять.
We'll stand.,Мы постоим.
We'll start.,Мы начнём.
We're alone.,Мы одни.
We're armed.,Мы вооружены.
We're awake.,Мы не спим.
We're awake.,Мы бодрствуем.
We're bored.,Нам скучно.
We're bored.,Нам надоело.
We're clean.,Мы чисты.
We're crazy.,Мы сумасшедшие.
We're dying.,Мы умираем.
We're early.,Мы рано.
We're going.,Мы идём.
We're ready.,Мы готовы.
We're right.,Мы правы.
We're saved.,Мы спасены.
We're smart.,Мы умны.
We're sorry.,Мы сожалеем.
We're sorry.,Нам жаль.
We're stuck.,Мы застряли.
We're timid.,Мы робкие.
We're timid.,Мы застенчивые.
We're tired.,Мы устали.
We're twins.,Мы близнецы.
We're upset.,Мы расстроены.
We're upset.,Мы огорчены.
We're young.,Мы юны.
We're young.,Мы молоды.
We're young.,Мы молодые.
We're young.,Мы юные.
We've eaten.,Мы поели.
What a bore!,Вот скукотища!
What a dope!,Вот болван!
What a dope!,Ну и болван!
What a dump.,Какая дыра.
What a game!,Вот это игра!
What a heel!,Вот мерзавец!
What a heel!,Ну и мерзавец!
What a jerk!,Какой гондон!
What a jerk!,Что за говнюк!
What a joke!,Вот это шутка!
What a loss!,Какая потеря!
What a mess!,Какой бардак!
What a mess!,Ну и бардак!
What a pain!,Какое горе.
What a pain!,Какая боль!
What a team!,Какая команда!
What an ego!,Какое эго!
What an ego!,Какое самомнение!
What is air?,Что такое воздух?
What is art?,Что такое искусство?
What is art?,Что есть искусство?
What is new?,Что нового?
What is new?,Что новенького?
What was it?,Что это было?
What'd I do?,Что бы я стал делать?
What's next?,Что потом?
What's that?,Что это такое?
Where is he?,Где он?
Where is it?,Где это?
Where is it?,Где он?
Where is it?,Где она?
Where is it?,Где оно?
Where was I?,Где я был?
Where was I?,На чём я остановился?
Where was I?,О чём бишь я?
Where was I?,О чём я говорил?
Where's Tom?,Где Том?
Who are you?,Кто ты такой?
Who are you?,Кто вы?
Who are you?,Вы кто?
