English,Russian,Hindi
He likes to cook.,Он любит готовить.,वह खाना बनाना पसंद करता है।
Did that hurt?,Это было больно?,क्या उससे चोट लगी?
We are at home.,Мы дома.,हम घर पर हैं।
Tom forgave you.,Том простил тебя.,टॉम ने तुम्हें माफ कर दिया।
Bring Tom over.,Приведите Тома.,टॉम को लाओ.
Can we stop?,Можем ли мы остановиться?,क्या हम रुक सकते हैं?
Stand by.,Поддерживать.,समर्थन करना।
We were wasted.,Мы были потрачены впустую.,हम बर्बाद हो गए.
Help me.,Помоги мне.,मेरी सहायता करो।
Ignore Tom.,Не обращай внимания на Тома.,टॉम पर ध्यान न दें.
I began to speak.,Я начал говорить.,मैंने बोलना शुरू किया.
It's boring.,Это скучно.,यह बेकार है।
We both cried.,Мы оба плакали.,हम दोनों रोये.
I ordered lunch.,Я заказал обед.,मैंने दोपहर का खाना ऑर्डर किया.
Tom is a bully.,Том — хулиган.,टॉम एक बदमाश है.
Is Monday OK?,Понедельник в порядке?,क्या सोमवार ठीक है?
Take this.,Возьми это.,इसे लो।
I hate broccoli.,Я ненавижу брокколи.,मुझे ब्रोकोली से नफरत है.
That's him.,Это он.,वह वही है।
There's our bus.,Вот наш автобус.,वहाँ हमारी बस है.
Tom's diabetic.,Том диабетик.,टॉम मधुमेह रोगी है.
I'm so scared.,Я так напуган.,मुझे इतना डर लग रहा है।
I know he did it.,"Я знаю, что он это сделал.",मैं जानता हूं उसने ऐसा किया.
Were they good?,Были ли они хороши?,क्या वे अच्छे थे?
Can I go outside?,Могу ли я выйти на улицу?,क्या मैं बाहर जा सकता हूँ?
Tom is in court.,Том в суде.,टॉम अदालत में है.
I wear a watch.,Я ношу часы.,मैं एक घड़ी पहनता हूं.
Who was here?,Кто был здесь?,यहाँ कौन था?
I feel it now.,Я чувствую это сейчас.,यह मैं अब महसूस करता हूँ।
This one works.,Этот работает.,यह काम करता है.
They need you.,Они нуждаются в тебе.,उन्हें आपकी जरूरत है.
Tom's homeless.,Том бездомный.,टॉम बेघर है.
I can fix that.,Я могу это исправить.,मैं उसे ठीक कर सकता।
I get the idea.,Я понял идею.,मुझे विचार मिल गया.
She runs fast.,Она быстро бегает.,वह तेज दौड़ती है.
"Fish, please.","Рыбу, пожалуйста.","मछली, कृपया."
I'll go check.,Я пойду проверю.,मैं जाँच करने जाऊँगा।
Tom is with him.,Том с ним.,टॉम उसके साथ है.
Let's split it.,Давайте разделим это.,आइए इसे विभाजित करें.
It's me.,Это я.,यह मैं हूं।
That's plastic.,Это пластик.,वह प्लास्टिक है.
I need answers.,Мне нужны ответы.,मुझे उत्तर चाहिए.
Was it a dream?,Был ли это сон?,क्या वो सपना था?
Hold on a moment.,Задержись на секундочку.,एक पल रूकिए।
Tom felt good.,Том чувствовал себя хорошо.,टॉम को अच्छा लगा।
Call me tomorrow.,Позвони мне завтра.,मुझे कल फोन करना।
Do I look insane?,Я выгляжу сумасшедшим?,क्या मैं पागल लग रहा हूँ?
I didn't do much.,Я мало что сделал.,मैंने बहुत कुछ नहीं किया.
Put that down.,Положи это.,उसे नीचे रखें।
It's so wrong.,Это так неправильно.,यह बहुत ग़लत है.
We both swim.,Мы оба плаваем.,हम दोनों तैरते हैं.
That was free.,Это было бесплатно.,वह मुफ़्त था.
We're not open.,Мы не открыты.,हम खुले नहीं हैं.
Please go now.,"Пожалуйста, идите сейчас.",कृपया अब जायें.
I'm a stuntman.,Я каскадер.,मैं एक स्टंटमैन हूं.
I was starving.,Я голодал.,मैं भूख से मर गया था।
Tom is my ex.,Том мой бывший.,टॉम मेरा पूर्व है.
Here he is!,А вот и он!,यहाँ वह है!
I helped a lot.,Я очень помог.,मैंने बहुत मदद की.
