Russian
Идти.
Привет.
Бегать!
Бегать.
ВОЗ?
Ух ты!
Том уступил.
Том подал в отставку.
Том сказал да.
Том сел.
Том спас меня.
Том увидел Мэри.
Том видел их.
Том закричал.
Том кажется в порядке.
Том вздрогнул.
Том выстрелил в нее.
Том выстрелил в него.
Том пожал плечами.
Том заговорил.
Том прищурился.
Том украл это.
Том встал.
Том заикается.
Том выжил.
Том рассказал ей.
Том рассказал ему.
Том исчез.
Том хочет меня.
Том был лысым.
Том был занят.
Том был спокоен.
Том был мертв.
Том был сыт.
Том был рад.
Том был здесь.
Том был дома.
Том был ранен.
Том был последним.
Том опоздал.
Том потерялся.
Том был следующим.
Том был бледен.
Том был беден.
Том был богат.
Том был груб.
Том был в безопасности.
Том был застрелен.
Том был болен.
Том вышел.
Том будет плакать.
Том умрет.
Том поест.
Том заплатит.
Том постарается.
Том победит.
Том не пойдет.
Том будет говорить.
Том придурок.
Том лжец.
Том боится.
Том спит.
Том идет.
Том плачет.
Том ест.
Том знаменит.
Том жадный.
Том не в себе.
Том виновен.
Том голоден.
Том сумасшедший.
Том внутри.
Том шутит.
Том одинок.
Тома нет дома.
Том вежливый.
Том напуган.
Том катается на лыжах.
Том такой старый.
Том под кайфом.
Том строгий.
Том сильный.
Том глупый.
Тому тридцать.
Том злой.
"Том, просыпайся."
Не доверять никому.
Попробуйте снова.
Попробуйте это.
Попробуйте торт.
Попробуйте это.
Попробуй это.
Постарайтесь сосредоточиться.
Попробуйте угадать.
Попытаться расслабиться.
Попробуй поспать.
Попробуйте улыбнуться.
Выключите его.
Невероятный!
Используйте их все.
Используйте свой пистолет.
Используйте свой ключ.
Голосуйте за Тома.
Подожди некоторое время.
Подожди Тома.
Подожди снаружи.
Разбудите их.
"Просыпайся, Том."
Хотите выпить?
Том был занят?
Том был здесь?
Том пострадал?
Том потерялся?
Было ли это смешно?
Это было страшно?
Ее видели?
Это был Том?
Мыть машину.
Смотри на меня сейчас.
Мы все плакали.
Мы все это делаем.
Мы приносим свои извинения.
Мы арабы.
Нам лучше пойти.
Мы оба поем.
Мы оба плаваем.
Мы можем начать.
Мы можем проверить.
Мы можем сделать это.
Мы можем уйти.
Мы не можем победить.
Мы могли умереть.
Мы могли бы попробовать.
Мы отлично справились.
Мы не лжем.
Мы едим много.
Мы едим фрукты.
Мы чувствуем себя в безопасности.
Мы нашли Тома.
Мы нашли один.
Нам повезло.
Мы приготовились.
Мы пообедали.
У нас есть еда.
У нас есть надежда.
У нас есть рис.
У нас есть место.
У нас есть немного.
У нас есть время.
У нас есть вино.
Мы вас услышали.
Мы наняли Тома.
Мы знали это.
Мы знали это.
Мы знаем это.
Мы знаем это.
Нам понравился Том.
Мы живем здесь.
Мы посмотрели вверх.
Мы любим их.
Мы любили Тома.
Мы любили тебя.
Мы встретились сегодня.
Мы можем умереть.
Мы должны помочь.
Мы должны подчиняться.
Мы должны остановиться.
Мы должны поговорить.
Нам нужны оба.
Нам нужна помощь.
Нам нужно больше.
Нам нужен дождь.
Нам нужен отдых.
Они нужны нам.
Нам это нужно.
Нам нужно время.
Мы никогда не встречались.
Мы проспали.
Нам пора идти.
Нам удалось!
Нам это удалось.
Мы сдаемся.
Мы доверяем ему.
Мы хотим мяса.
Мы хотим больше.
Мы были заняты.
Нам было холодно.
Мы были поздно.
Мы потерялись.
Мы были больны.
Мы выиграли сегодня.
Мы не победим.
Мы работаем здесь.
Мы атакуем.
Мы будем присутствовать.
Мы решим.
Мы это исправим.
Мы справимся.
Мы будем кричать.
Мы будем голодать.
Ну попробуйте.
Мы команда.
Мы взрослые.
Боялся.
У нас все в порядке.
Мы находимся в состоянии войны.
Мы предвзяты.
Мы покупаем.
Мы закрыты.
Приходили.
Мы плачем.
Мы встречаемся.
Мы знамениты.
Мы уроды.
Мы жадные.
Мы герои.
Мы прячемся.
Мы честны.
Мы голодны.
Мы внутри.
Мы шутим.
Мы неудачники.
Мы проигрываем.
Мы модели.
Мы переезжаем.
Мы нормальные.
Мы платим.
Мы разорены.
Мы напуганы.
Мы хотим спать.
Мы строгие.
Мы сильны.
Пытались.
У нас это есть.
Добро пожаловать.
Добро пожаловать домой.
"Ну, я солгал."
Что за неудачник!
Что ночью!
Какой позор!
Ах какая женщина!
Какая идея!
Что такое любовь?
Что это такое?
Что это?
Что такое видеомагнитофон?
Что по телевизору?
Где Том?
Где оно было?
Кто они?
Кто сломал его?
Кто это построил?
Кто отменил?
Кто это сделал?
Кто это сделал?
Кто что сделал?
Кто пострадал?
Кого застрелили?
Кто пришел?
У кого есть время?
Кто тебя обидел?
Кто там?
Кто слушал?
Кому это нужно?
Кто заплатил вам?
Кто запаниковал?
Кто вам платит?
Кто сбежал?
Кто сказал да?
Кто что видел?
Кто послал Тома?
Кто тебя послал?
Кто в тебя стрелял?
Кто это украл?
Кто выжил?
Кто сказал Тому?
Кто сказал тебе?
Кто исчез?
Кто этого хочет?
Кто был здесь?
Кто это был?
Кто будет платить?
Кто победит?
Кто это написал?
Кто будет водить?
Кто будет сражаться?
Кто начнет?
Кто идет?
Кто голоден?
Для кого это?
Кто шутит?
Кто платит?
Почему не оба?
Зачем меня благодарить?
Том умрет?
Будет ли он жить?
Поможет ли это?
Будет ли дождь?
Это будет работать?
Пожелай мне удачи.
Ты не пойдешь?
Пишите чернилами.
Напиши Тому.
Прошли годы.
Ты меня раздражаешь.
Ты хороший.
Ты опоздал.
Ты ленив!
Ты богат.
Ты грубый.
Вы можете приехать.
Вы можете помочь.
Ты можешь отдохнуть.
Ты можешь остаться.
Вы можете остановиться.
Ты не можешь идти.
Ты сделал это.
Ты сделал это.
Вы это исправили.
Вы первый.
Ты причинил ему боль.
Вы ее знаете.
Ты его знаешь.
Ты знаешь как.
Ты плохо выглядишь.
Ты выглядишь толстым.
Вы можете плавать.
Ты должен есть.
Ты должен бежать.
Вы должны попробовать.
Ты обещал.
Ты спас нас.
Ты меня пугаешь.
Ты выглядишь грустным.
Ты застрелил Тома.
Ты оставайся на месте.
Ты выжил.
Ты умрешь.
Ты будешь есть.
Ты увидишь.
С тобой все будет в порядке.
Ты сделаешь это.
Ты свинья.
Ты шпион.
Ты ужасен.
Ты храбрый.
Ты псих.
Вы жестоки.
Ты грязный.
Ты пьян.
Ты умираешь.
Вы рано.
Ты уволен.
Ты первый.
Вы дураки.
Ты забавный.
Ты счастливчик.
Ты врешь!
Ты врешь.
Ты наивный.
Тебя показывают по телевизору.
Ты готов.
Ты прав.
Ты страшный.
Ты маленький.
Вы умны.
Вы устали.
Ты крутой.
Вы расстроены.
Ты странный.
Ты остроумный.
Вы не правы.
Ты молод.
Ты вырос.
Вы пробовали.
Застегните губу.
Машина сбила Тома.
Проехала машина.
Собака укусила Тома.
Добавьте немного соли.
Все было тихо.
Я одобрен?
Я мечтаю?
Я ошибаюсь?
Я сейчас в безопасности?
Я талантлив?
Я опоздал?
Любые вопросы?
Что-нибудь еще?
Они заняты?
Они полицейские?
Они милые?
Они мертвы?
Они ушли?
Они здесь?
Они высокие?
Вы фанат?
Ты жив?
Ты один?
Ты сердишься?
Вы вооружены?
Ты проснулся?
Вы слепой?
Вам скучно?
Вы с ума сошли?
Ты пьян?
Ты умираешь?
Вы собираетесь?
Вы счастливы?
Вам повезло?
Ты лежишь?
Вы готовы?
Вы застряли?
Ты здесь?
Вы устали?
Вы близнецы?
Ты расстроен?
Вы молоды?
Спроси Тома еще раз.
Спросите эксперта.
Спросите любую женщину.
Будь хорошим мальчиком.
Будь благоразумен.
Быть почтительным.
Взбейте яйца.
Осторожно собака.
Оба сели.
Принесите обед.
Верни это.
Принеси это сюда.
Принесите его домой.
Принеси ключ.
Сжечь тело.
Купите несколько игрушек.
Вызовите врача.
Звать на помощь.
Вызови мне такси.
Позвони мне позже.
Вызовите охрану!
Позвоните в охрану.
Позвоните полицейским.
Могу я спросить кто?
"Могу ли я спросить, почему?"
Могу ли я войти?
Могу ли я сделать это?
Я могу сделать это?
Могу я пойти домой?
Могу ли я пойти дальше?
Можно мне тоже пойти?
Можно мне тебя обнять?
Могу ли я оставить это себе?
Могу я зайти?
Могу ли я это взять?
Сможет ли Том это сделать?
Том умеет водить машину?
Может ли он меня увидеть?
Может ли он нас увидеть?
Может ли это подождать?
Можем ли мы это исправить?
Ты можешь сделать это?
Умеешь водить?
Можешь уйти?
Ты умеешь кататься на коньках?
Разве ты не видишь?
"Проверьте, пожалуйста."
Закройте коробку.
Приходите и помогите.
Приходите и посмотрите.
Возвращайся сейчас.
Иди сюда.
Приходи завтра.
Сварите рис.
Преступность снизилась.
ПОТАНЦУЙ со мной.
Я тебя спрашивал?
Это я сделал?
Том сделал это?
Том утонул?
Том потерял сознание?
Том дрался?
Том рассмеялся?
Том ушел?
Том ответил?
Том улыбнулся?
Это было больно?
Это сработало?
Вы делали это?
Вы улыбнулись?
Вы говорили?
Вы изучали?
Знаю ли я Тома?
Я его знаю?
Я тебя знаю?
Я выгляжу толстой?
Я выгляжу старым?
Ты мне нужен?
"Сделайте, как я просил."
Будьте осторожны.
Кошки мечтают?
Приходите еще.
Рыбы спят?
Сделай это ради Тома.
Сделайте это быстро.
Делайте это тихо.
Сделай это со мной.
Сделайте мне одолжение.
Сделай это снова.
Сделайте это позже.
Помыть посуду.
"Делай, что я говорю."
Ты понял?
Вы меня понимаете?
Вы возражаете?
Вы видите это?
Ты видишь меня?
Том знает?
Том не против?
Том поет?
Это подходит?
Собаки умеют плавать.
Не опаздывайте.
Не задерживайся.
Не будь злым.
Не будьте свиньями.
Не грубите.
Не взорвите это.
Не звони мне.
Не звоните нам.
Не входи.
Не отрицайте этого.
Не делай этого.
Не делай этого.
Не бросай это.
Не толстейте.
Не злись.
Не сдавайся.
Не сдавайтесь!
Не сдавайся.
Не уходи.
Не иди домой.
"Не уходи, Том."
Не вешайте трубку!
Не вешайте трубку.
Не ненавидь меня.
Не убивай меня.
Не целуй меня.
Не смотри вверх.
Не теряйте это.
Не издевайся надо мной.
Не открывай его.
Не давите на это.
Не дави на меня!
Не дави на меня.
Не придирайтесь.
Не отвечайте.
Не рискуйте!
Не рискуйте.
Не торопи меня.
Не ругайте меня.
Нарисовать круг.
Выпейте это.
Бросай пистолет!
Есть и пить.
Есть что-то.
Ешь свою еду.
Ешьте свой горох.
Даже Том лгал.
Все умирают.
Все пели.
Все выигрывают.
Все встали.
Медленно выдохните.
Кормите птицу!
Покормите птицу.
Заполните это.
Закончите есть.
Почините часы.
Почините часы.
Цветы цветут.
Пожарь мне яйцо.
Подстричься.
Торопиться!
Торопиться.
Вернитесь сюда.
Принеси мне пива.
Отдохни.
Раздеться.
Поскорее поправляйся!
Поскорее поправляйся.
Получите свое снаряжение.
Получите ключи.
Дайте ему время.
Попробуйте.
Дай это мне!
Дай это мне.
Дайте мне несколько.
Дай мне пистолет.
Обними меня.
Дайте мне работу.
Дай мне их.
"Давай, Том."
Иди принеси пива.
Иди принеси кофе.
Иди без меня.
Иди без нас.
Будьте здоровы!
Будьте здоровы.
Бог знает почему.
Возьмите веревку.
"Угадайте, кто победил."
Передай мне.
Повесить там.
Держитесь крепче.
Пусть он придет.
Иметь терпение.
Веселись.
Возьмите немного ветчины.
Выпить чаю.
Он сломал их.
Он пришел первым.
Он не умеет читать.
Он не умеет петь.
Он не умеет плавать.
Он обманул меня.
Он так и сказал.
Он пил пиво.
Он бросил это.
Он выкопал яму.
Он много ест.
Он чувствовал усталость.
Он обманул ее.
Его поймали.
Он выращивает рис.
У него есть блог.
У него есть книга.
У него простуда.
У него есть горничная.
У него брекеты.
Он обнял ее.
Он проигнорировал меня.
Он британец.
Он - англичанин.
Он падает.
Он сейчас отсутствует.
Он читает.
Он катается на коньках.
Он слишком стар.
Он убил его.
Он поцеловал ее.
Он отпустил Тома.
Он лгал мне.
Он солгал нам.
Ему это понравилось.
Он выглядит бледным.
Он выглядит хорошо.
Он потерял цвет.
Он любит их.
Он любит игрушки.
Он заставил меня уйти.
Он ущипнул меня!
Он кажется добрым.
Он продает автомобили.
Он выстрелил в меня.
Он плохо пахнет.
Он говорит быстро.
Он прикоснулся ко мне.
Он обманул меня.
Он очень старается.
Он идет быстро.
Он хочет большего.
Он плакал.
Его побили камнями.
Он ослеп.
Он сошел с ума.
Он австриец.
Он ворчун.
Он иезуит.
Он юрист.
Он сексист.
Он магнат.
Он чудак.
Он гонится за мной.
Он в Токио.
Он невиновен.
Он не святой.
Его нет дома.
Он не болен.
Он вне холода.
Он возмущен.
Он безжалостен.
Он такой молодой.
Он учится.
Он слишком занят.
Он слишком медленный.
Он очень болен.
Он твой сын.
Угощайтесь.
А вот и он.
Сюда или идти?
Вот 10 долларов.
Вот копия.
Вот вам!
Всем привет.
Спрячься.
Из носа пошла кровь.
Держись крепче.
Держи дверь.
Держать строй.
Держи веревку.
А ты?
Как красиво!
Насколько он большой?
Насколько оно большое?
Как это может быть?
Как вкусно!
Как прошло?
Как я выгляжу?
Как дела?
Насколько это далеко?
Насколько жарко?
Насколько я опоздал?
Сколько умерло?
Сколько ему лет?
Как волнующе!
Как обед?
Как чудесно!
Как собака?
Как работа?
"Поторопись, Том."
Я принимаю это.
Я действовал один.
Я добавила воды.
Я восхищался Томом.
Я усыновил Тома.
Я чуть не умер.
Я уже поел.
Я всегда проигрываю.
Я всегда гуляю.
Я американец.
Я японец.
Я мусульманин.
Я весь внимание.
Сейчас я занят.
Я смущен.
Я кашляю.
Я диабетик.
Я в разводе.
Я скучаю по дому.
Я в Париже.
Я похож на него.
Я здесь новичок.
Я не глухой.
Я не уверен.
Я возмущен.
Я чихаю.
Мне очень жаль.
Я учусь.
Я виноват.
Мне очень грустно.
"Я тот, кто я есть."
Я съел пончик.
Я поел быстро.
Я избегал Тома.
Я отступил.
Я испекла пирог.
Я испекла хлеб.
Я стал богатым.
Я верю Тому.
Я верю тебе.
Я принадлежу этому месту.
Я заблокировал Тома.
Я одолжил его.
Я подкупил их.
Я их сжег.
Я позвонил домой.
Я позвонил им.
Я приехал на автобусе.
Я приехал на машине.
Я могу купить один.
Я могу купить два.
Я могу это сделать.
Я могу сделать это.
Я могу объяснить.
Я чувствую это.
Я могу сделать это.
Я могу это прочитать.
Я вижу Тома.
Я тебя вижу.
Я смогу выжить.
Я не умею танцевать.
Я не могу этого сделать.
Я не умею водить машину.
Я не могу продолжать.
Я не могу уйти.
Я не умею рисовать.
Я не умею кататься на коньках.
Я не могу спать.
Я не могу курить.
Я не могу стоять.
Я отменил это.
Я внес свой вклад.
Я много кашляю.
Я мог бы это сделать.
Я не мог пойти.
Я много плакала.
Я снова заплакала.
Я плакала сегодня.
Я пропускаю занятия.
Я это отрицал.
Я это заслужил.
Я презираю Тома.
Я презираю тебя.
Я сделал это.
Я сделал это один раз.
Я выполнил свой долг.
Я сделал свою часть.
Я сделал свою работу.
Я ничего не делал.
Я не звонил.
Мне было все равно.
Я не упал.
Я не помог.
Я не знал.
Я не смотрел.
Я не возражал.
Я не двигался.
Я не прошел.
Я не пел.
Я не остановился.
Я не плавал.
Я не голосовал.
Я не стал ждать.
Мне нравится Том.
Я люблю вас.
Я люблю Тома.
Я люблю тебя.
Ты мне нужен.
Я так думаю.
Я не согласен.
Я не танцую.
Я не пью.
Я не храплю.
Я не ворую.
Я не учусь.
Я много пил.
Я выпил сок.
Я много мечтаю.
Я много пью.
Я крашу волосы.
Я наслаждаюсь шахматами.
Мне нравится покер.
Я преувеличил.
Я никого не боюсь.
Я покормил собаку.
Мне лучше.
Я чувствую себя виноватым.
Я чувствую это сейчас.
Я чувствую себя одиноко.
Я чувствую свой возраст.
Я сонный.
Мне так плохо.
Я заснул.
Я чувствовал себя виноватым.
Я почувствовал себя заново рожденным.
Я чувствовал себя сильным.
Я наконец выиграл.
Я закончил это.
Я запрещаю это.
Я простил Тома.
Я прощаю тебя.
Я забыл их.
Я нашел работу.
Я нашел это.
Я полностью согласен.
Я получил бонус.
У меня появился щенок.
Я пришел в ярость.
Я встал в очередь.
Я получил это бесплатно.
Я вышла замуж.
Я занервничал.
Я ничего не получил.
В меня стреляли.
Я заболел гриппом.
Я получил работу.
Я почувствовал жажду.
Я встал поздно.
Я понятия не имел.
Я понятия не имел.
Мне пришлось спрятаться.
Мне пришлось остаться.
Мне пришлось остановиться.
Мне пришлось ждать.
Я должен был работать.
Я ненавижу французский.
Я ненавижу сельдерей.
Я ненавижу кофе.
Я ненавижу летать.
Я ненавижу проигрывать.
Я ненавижу переезд.
Я ненавижу себя.
Я ненавижу лук.
Я ненавижу школу.
Я ненавижу змей.
Я ненавижу футбол.
Я ненавижу спорт.
Я ненавижу зиму.
У меня есть бомба.
У меня есть книга.
Я простудился.
У меня свидание.
У меня есть дом.
У меня есть список.
У меня есть план.
У меня есть кольцо.
У меня есть близнец.
У меня есть виза.
У меня есть жена.
У меня есть яйцо.
У меня астма.
У меня есть брекеты.
У меня рак.
У меня есть сомнения.
Мне не удалось.
У меня есть права.
Я согрешил.
У меня есть стаж.
Мне нужно поесть.
Я должен бежать.
Я должен попробовать.
Я должен победить.
Я слышу голоса.
"Надеюсь, мы победим."
Я навредил себе.
Я проигнорировал Тома.
Я проигнорировал его.
Я отпрыгнул назад.
Я только что это сделал.
Я только проснулся.
Я просто улыбнулся.
Я промолчал.
Я не шучу.
Я знаю Бостон.
Я знаю французский.
Я знаю свою работу.
Я знаю людей.
Я откинулся назад.
Я оставил записку.
Я позволил Тому победить.
Я отпустил их.
Я позволяю тебе победить.
Я солгал Тому.
Я соврал тебе.
Мне нравится Бостон.
Я люблю французский.
Я люблю яблоки.
Мне нравятся верблюды.
Мне нравится сельдерей.
Я люблю сыр.
Мне нравятся города.
Мне нравятся часы.
Мне нравится кофе.
Мне нравится летать.
Мне нравится виноград.
Мне нравится хоккей.
Мне нравятся лошади.
Мне нравятся фильмы.
Я люблю свою работу.
Мне нравится перец.
Мне нравятся пони.
Мне нравится регги.
Мне нравится лосось.
Мне нравится школа.
Мне нравится шить.
Мне нравится кататься на лыжах.
Я люблю футбол.
Мне нравятся ложки.
Я люблю спорт.
Мне нравится весна.
Я люблю сладости.
Я люблю Тенис.
Я люблю кушать.
Мне нравится бегать.
Мне нравятся поезда.
Мне нравятся тюльпаны.
Я люблю зиму.
Мне нравится желтый.
Мне нравится йогурт.
Я живу неподалеку.
Я жил один.
Я посмотрел вниз.
Я потерял свою собаку.
Я потерял шляпу.
Я потерял работу.
Я потерял ключ.
Я люблю Бостон.
Я люблю французский.
Я люблю понедельник!
Я люблю яблоки.
Я люблю осень.
Я люблю верблюдов.
Я люблю сыр.
Я люблю чеснок.
Я люблю походы.
Я люблю лошадей.
Я люблю своего кота.
Я люблю своего отца.
Я люблю свою работу.
Я люблю свою маму.
Я люблю своего сына.
Я люблю себя.
Я люблю природу.
Я люблю панд.
Я люблю растения.
Я люблю спорт.
Я люблю весну.
Я люблю лето.
Я люблю поезда.
Я люблю зиму.
Я сделал копию.
Я заключил сделку.
Я поморщился.
Я сжал кулак.
Я составил список.
Я загадал желание.
Я приготовил кофе.
Я приготовил ужин.
Я приготовил ужин.
Я вышла замуж за Тома.
"Возможно, я вернусь."
Я могу опоздать.
Я могу это сделать.
Я могу упасть в обморок.
Я скучаю по Бостону.
Я скучаю по своему коту.
Скучаю по маме.
Я должен это исправить.
Я должен идти.
Я должен выйти.
Я должен возразить.
Я должен отказаться.
Я должен сопротивляться.
Я должен это увидеть.
Я чуть не умер.
Мне нужна ванна.
Мне нужна трость.
Мне нужно пальто.
Мне нужна лампа.
Мне нужен кредит.
Мне нужен план.
Мне нужен отдых.
Мне нужна поездка.
Мне нужна комната.
Мне нужно такси.
Мне нужна неделя.
Мне нужен совет.
Мне нужен кофе.
Мне нужно это сейчас.
Мне нужна моя сумка.
Мне нужен мой ключ.
Мне нужно поесть.
Мне нужно заплатить.
Мне нужно попробовать.
Мне нужно победить.
Мне нужны были наличные.
Мне нужна была еда.
Мне нужна была помощь.
Мне нужна была надежда.
Мне нужен был отдых.
Мне это было нужно.
Мне это было нужно.
Мне нужно было время.
Мне нужна была работа.
Я никогда не мечтаю.
Я никогда не пью.
Я никогда не смеюсь.
Я никогда не волнуюсь.
Я кивнул в ответ.
Я заметил Тома.
Я превосходю тебя по рангу.
Я должен Тому один.
Я в долгу перед ним.
Я должен тебе 30 долларов.
У меня есть лошадь.
У меня есть дом.
У меня есть яхта.
Я заплатил штраф.
Я заплатил за это.
Я играю в хоккей.
Я играю в сквош.
Я играю в теннис.
Я играю на скрипке.
Я играл в гольф.
Я предпочитаю собак.
Я положил его обратно.
Я уволился с работы.
Я бросил школу.
Я вполне согласен.
Я выбежал на улицу.
Я редко пою.
Я читаю книгу.
Мне действительно не все равно.
Я полагаюсь на Тома.
Я запомню это.
Я перенес встречу.
Я спас Тома.
Я спас ее.
Я спас его.
Я спас тебя.
Я уважаю Тома.
Я уважаю тебя.
"Я сказал, что пойду."
Я сказал достаточно.
Я сказал вставай!
Я сказал спасибо.
Я спел песню.
"Я видел, как умер Том."
Я видел бой.
Я видел мышь!
Я увидел мышь.
Я видел самолет.
Я увидел змею.
"Я видел, как он плакал."
Я тоже это видел.
Я ничего не видел.
Я видел кого-то.
Я видел автобус.
Я видел кота.
Я видел собаку.
Я поддерживаю это.
Я вижу свет.
Я вижу самолет.
Я вижу королеву.
Я вижу свой корабль.
Я вижу кого-то.
Я вижу мальчика.
Я вижу автобус.
Я вижу собаку.
Я редко пою.
Я продаю кофе.
Я застрелил медведя.
Я много сплю.
Я чувствую запах дыма.
Я продал книгу.
Я остался дома.
Я украл машину.
Я поддерживаю его.
Я сдался.
Я сильно потею.
Я поблагодарил Тома.
"Я думаю, что могу."
Я сказал Тому нет.
Я рассказал анекдот.
Я тебе так сказал.
Я принял ванну.
Я сел.
Я прогулялся.
Я прикоснулся к Тому.
Я обманул тебя.
Я попробовал еще раз.
Я доверял Тому.
Я доверял тебе.
Я использую Фаерфокс.
Я использую Твиттер.
Я посетил Тома.
Я вызвался добровольцем.
Я гулял здесь.
Я шел домой.
Я хочу ванну.
Я хочу пива.
Я хочу лодку.
Я хочу книгу.
Я хочу пони.
Я хочу бассейн.
Я хочу кофе.
Я хочу все это.
Я хочу сейчас.
Я хочу свою маму.
Я хочу плакать.
Я хочу умереть.
Я голоден.
Я хочу попробовать.
Я хочу победить.
Я хотел большего.
Я хотел этого.
Я хотел этого.
Мне было стыдно.
Я был дома.
Я был на работе.
Я был сбит с толку.
Меня издевались.
Я был осторожен.
Я был доволен.
Мне было любопытно.
Я танцевал.
Я был ошеломлен.
Меня накачали наркотиками.
Я был избран.
Я был взволнован.
Я был в ярости.
Я охотился.
Я был ранен.
Я был приглашен.
Я был ревнив.
Я прыгал.
Я пошутил.
Я был снисходителен.
Я был женат.
Я нервничал.
Я был на дежурстве.
Я был на улице.
Я был терпелив.
Я был рад.
Я читал.
Я был расслаблен.
Я бегал.
Я был эгоистичен.
Я был серьезен.
Меня трясло.
Я был потрясен.
Я пел.
Я был так занят.
Мне было так холодно.
Я испытал искушение.
Я хотел пить.
Я был слишком застенчив.
Я оказался в ловушке.
Я был безоружен.
Мне не повезло.
Я работал.
Я волновался.
Я не был занят.
Меня не было дома.
Я не был в безопасности.
Я не был уверен.
Мне не сказали.
Мне было нехорошо.
Я наблюдал за Томом.
Я наблюдал за тобой.
Я ношу боксеры.
Я поднялся на борт.
Я поехал на машине.
Я пошел в поход.
Я вошел внутрь.
Я буду вести себя.
Я буду слушать.
Я останусь.
Я вернусь.
Если бы я знал.
Я разбудил Тома.
Я разбудил тебя.
Я выиграл пари.
Я не сдвинусь с места.
Я не буду танцевать.
Я не буду этого делать.
Я не войду.
Я не буду смеяться.
Я не уйду.
Я не буду спать.
Я много работал.
Я пишу стихи.
Я пишу песни.
Я позволю это.
Я буду один.
Я буду краток.
Я пойду.
Я буду быстрым.
Я буду молчать.
Я буду готов.
Я буду там.
Я куплю еды.
Я куплю это.
Я куплю это.
Я позвоню Тому.
Я тебе позвоню.
Я проверю его.
Я приду сейчас.
Я съем рыбу.
Я поем здесь.
Я найду Тома.
Я найду тебя.
Я уволю Тома.
Я тебя уволю.
Я исправлю это.
Я исправлю это.
Я получу помощь.
Я потеряюсь.
Я возьму немного.
Я получу это.
Я получу их.
Я получу это.
Я пойду проверю.
Я пойду первым.
Я пойду туда.
Я помогу Тому.
Я помогу тебе.
Я присоединюсь к тебе.
Я убью Тома.
Я убью его.
Я убью тебя.
Я заварю чай.
Я встречу Тома.
Я встречу тебя.
Я буду скучать по Тому.
Я буду скучать по тебе.
Я докажу это.
Я спасу Тома.
Я спасу тебя.
Я покажу тебе.
Я остановлю Тома.
Я остановлюсь сейчас.
Я остановлю тебя.
Я возьму его.
Я возьму один.
Я скажу Тому.
Я вам скажу.
Я попробую это.
Я предупрежу Тома.
Я предупрежу тебя.
Я буду смотреть телевизор.
Я посмотрю.
Я отец Тома.
Я мама Тома.
Я сын Тома.
Я большой ребенок.
Я немного застенчив.
Я полковник.
Я дантист.
Я пожарный.
Я флорист.
Я теперь мужчина.
Я пациент.
Я рыжий.
Я деревенщина.
Я беженец.
Я солдат.
Я студент.
Я подозреваемый.
Я учитель.
Я турист.
Я стажер.
Я ветеран.
Я вдовец.
Я свидетель.
Я легко адаптируюсь.
"Боюсь, что так."
Я одинок.
Я в порядке.
Я вся твоя.
Я сейчас один.
Я амбициозен.
Я наркоман.
Я художник.
Я бывший заключенный.
Я сирота.
Я внимателен.
Я доступен.
Я уже проснулся.
Я прекрасен.
Я двуязычный.
Я здесь занят.
"Я занят, Том."
Я тоже занят.
Я один.
Я захожу.
Я предан своему делу.
Я обеспокоен.
Я уверен.
Я доволен.
Я убежден.
Я предан своему делу.
Я в депрессии.
Я в отчаянии.
Я другой.
Мне противно.
Я закончил здесь.
Я здесь.
Я спокойный.
Я эффективен.
Я энергичный.
Я изможден.
Я фантастический.
Я польщен.
Я забывчив.
Я сдаюсь.
Я схожу с ума.
Я собираюсь сейчас.
Я тоже здесь.
"Я дома, мама!"
"Я дома, Том."
Я в ужасе.
У меня похмелье.
Я беспристрастен.
Я нетерпелив.
Я важен.
Я впечатлен.
Я импульсивный.
Я в Бостоне.
Я в банде.
Я главный.
Я в опасности.
Я в своей машине.
Я в школе.
Я неправ.
Я заинтригован.
Я просто ленив.
Слушаю.
Я несчастен.
Я мотивирован.
Я не эксперт.
Я не гений.
Я не полицейский.
Я не фанат.
Я не ребенок.
Я не шпион.
Я не одинок.
Я не злюсь!
Я не злюсь.
Я не вооружен.
Я не слепой.
Мне не скучно.
Я не властный.
Я не храбрый.
Я не сумасшедший.
Я не пьян.
Я не умираю.
Я не привереда.
Я не собираюсь.
Я несчастлив.
Я не нервный.
Я невезучий.
Я не вру.
Я не наивный.
Я не страдаю ожирением.
Я не придирчив.
Я не горжусь.
Я не готов.
Я не маленький.
Я не умный.
Я не застрял.
Я не устал.
Я не расстроен.
Я не странный.
Я не ошибаюсь.
Я не молод.
Я объективен.
Я наблюдателен.
Я ухожу сегодня.
Я на диете.
Я в ударе.
Я сам по себе.
Я уже в пути.
Я условно-досрочно освобожден.
Я бастую.
Я организован.
Я здесь.
Я парализован.
Я загипсован.
Я бессилен.
Теперь я готов.
Я реалист.
Я обижен.
Я ухожу в отставку.
Я устойчив.
Я здесь в безопасности.
Я удовлетворен.
Я сохраняю это.
Я говорю нет.
Я чувствительный.
Меня знобит.
Я так боюсь.
Я очень голоден.
Я так одинок.
Я так напуган.
Я такой сонный.
Я такой глупый.
Я все еще злюсь.
Я страдаю.
Я удивлен.
Я выживаю.
Я в ужасе.
Я тренер.
Я владелец.
Я устал.
Я глухой.
Я глухой.
Я слишком пьян.
Я слишком низкий.
Я слишком устал.
Я слишком молод.
Я не застрахован.
Я не женат.
Я непопулярен.
Я очень занят.
